Date,Open,High,Low,Close
2025-02-21,1.04977,1.05055,1.04497,1.04608
2025-02-24,1.04754,1.05283,1.04532,1.04694
2025-02-25,1.04685,1.05193,1.04566,1.05141
2025-02-26,1.05143,1.05273,1.04751,1.04876
2025-02-27,1.04879,1.04927,1.03894,1.03954
2025-02-28,1.03925,1.042,1.03602,1.03736
2025-03-03,1.04032,1.05037,1.03889,1.04881
2025-03-04,1.04879,1.06275,1.04715,1.06203
2025-03-05,1.06203,1.07964,1.06024,1.07908
2025-03-06,1.07914,1.08533,1.0766,1.07918
2025-03-07,1.07915,1.08883,1.07815,1.08475
2025-03-10,1.08496,1.08743,1.08057,1.08351
2025-03-11,1.0836,1.09473,1.08359,1.09158
2025-03-12,1.09155,1.09301,1.0876,1.08893
2025-03-13,1.08893,1.08973,1.08232,1.08526
2025-03-14,1.08527,1.09116,1.08311,1.08785
2025-03-17,1.08821,1.09299,1.08688,1.09214
2025-03-18,1.09215,1.09545,1.08927,1.09418
2025-03-19,1.0943,1.09452,1.08608,1.09087
2025-03-20,1.09086,1.09174,1.0815,1.08573
2025-03-21,1.08575,1.08613,1.07982,1.08171
2025-03-24,1.08201,1.08584,1.07822,1.08025
2025-03-25,1.08026,1.08301,1.07773,1.07889
2025-03-26,1.07885,1.08028,1.07336,1.07375
2025-03-27,1.07372,1.08205,1.07358,1.07964
2025-03-28,1.07964,1.08448,1.0765,1.08309
2025-03-31,1.08164,1.08492,1.07843,1.08199
2025-04-01,1.08198,1.08301,1.07785,1.07941
2025-04-02,1.07944,1.09234,1.07814,1.0828
2025-04-03,1.08281,1.1143,1.08061,1.10519
2025-04-04,1.10505,1.11077,1.09262,1.0943
2025-04-07,1.09188,1.10499,1.09018,1.09132
2025-04-08,1.09133,1.09917,1.08898,1.09585
2025-04-09,1.09588,1.10948,1.09143,1.0951
2025-04-10,1.0951,1.12414,1.09433,1.11948
2025-04-11,1.11946,1.14732,1.11945,1.1341
2025-04-14,1.13208,1.14247,1.12969,1.13552
2025-04-15,1.13538,1.1378,1.12655,1.12828
2025-04-16,1.12835,1.14128,1.12832,1.13973
2025-04-17,1.13979,1.14094,1.1337,1.13693
2025-04-21,1.14254,1.15733,1.13964,1.15105
2025-04-22,1.15108,1.15471,1.13635,1.13635
2025-04-23,1.13624,1.144,1.13085,1.13243
2025-04-24,1.13245,1.1398,1.1322,1.13879
2025-04-25,1.13876,1.13911,1.13162,1.13595
